effect_text,norm_key,kind,tier,tags
"Талант ""Всевидящее око"" 1 ступень","талант ""всевидящее око"" 1 ступень",raw,,
"Талант ""Похититель энергии"" 1 ступени, который можно применять и к техническим устройствам(после этого устройство ломается)","талант ""похититель энергии"" 1 ступени, который можно применять и к техническим устройствам(после этого устройство ломается)",raw,,
Тонизирует (более слабый вариант бодрости),тонизирует (более слабый вариант бодрости),wake,,
Убирает головную боль в затылочной части,убирает головную боль в затылочной части,raw,,
"Убирает до 2 любых плюс из существующих у персонажа, или в составе эликисра","убирает до 2 любых плюс из существующих у персонажа, или в составе эликисра",raw,,
"Убирает паралич, в том числе от различных ядов и талантов","убирает паралич, в том числе от различных ядов и талантов",detox_poison,,
Убирает симптомы магической чумы на поздних стадиях,убирает симптомы магической чумы на поздних стадиях,raw,,
Увеличивает Легкомыслие,увеличивает легкомыслие,raw,,
Увеличивает Физическое здоровье до показателя силы крови (хиты=сила крови),увеличивает физическое здоровье до показателя силы крови (хиты=сила крови),raw,,
"Увеличивает магический потенциал (сила крови *2, но не более 50ти единиц. При этом не увеличивает показатель хитов)","увеличивает магический потенциал (сила крови *2, но не более 50ти единиц. при этом не увеличивает показатель хитов)",raw,,
"Увеличивает плодородие (100% залет), может привести к непорочному зачатию в случае если в составе эликсира.","увеличивает плодородие (100% залет), может привести к непорочному зачатию в случае если в составе эликсира.",raw,,
Увеличивает привлекательность (пока эликсир/зелье активен маркер красной розы),увеличивает привлекательность (пока эликсир/зелье активен маркер красной розы),raw,,
"Увеличивает рандомно знание магии на 1 единицу. При временном эффекте зелье/эликсир/настойки написать в бот мг для получения рандомной точки усиления, действовать усиление будет в течение действия зелья/эликсира/настойки. При неснимаемом/нерушимом продукте магии получить рандомную карту ОП у мг.","увеличивает рандомно знание магии на 1 единицу. при временном эффекте зелье/эликсир/настойки написать в бот мг для получения рандомной точки усиления, действовать усиление будет в течение действия зелья/эликсира/настойки. при неснимаемом/нерушимом продукте магии получить рандомную карту оп у мг.",raw,,
Увеличивает самую сильную привязанность до влюбленности,увеличивает самую сильную привязанность до влюбленности,raw,,
"Увеличивает силу крови мага (на время действия эликсира/зелья) на силу эликсира, на 1 боевую ситуацию.","увеличивает силу крови мага (на время действия эликсира/зелья) на силу эликсира, на 1 боевую ситуацию.",raw,,
"Увеличиввает срок жизни (1 пара луна+луч это 15 лет, а не 10)","увеличиввает срок жизни (1 пара луна+луч это 15 лет, а не 10)",raw,,
Улучшает ментальную защиту,улучшает ментальную защиту,mental_protection,,
Уменьшает влечение к противоположному полу,уменьшает влечение к противоположному полу,raw,,
Уменьшает силу стихийных чар,уменьшает силу стихийных чар,raw,,
Уравновешенность,уравновешенность,raw,,
Усиление магии молнии,усиление магии молнии,raw,,
Усиление способности впитывать энергию,усиление способности впитывать энергию,raw,,
"Усиливает влечение к противоположному полу, афродизиак","усиливает влечение к противоположному полу, афродизиак",raw,,
Усиливает восприимчивость к энергии Тени (урон от Тени *2),усиливает восприимчивость к энергии тени (урон от тени *2),raw,,
Усиливает готовый эликсир (сила на выходе *2) и дает иммунитет к магии (пока работает этот эликсир полный иммунитет к любым магическим воздествиям),усиливает готовый эликсир (сила на выходе *2) и дает иммунитет к магии (пока работает этот эликсир полный иммунитет к любым магическим воздествиям),raw,,
"Усиливает готовый эликсир. Сила усиления равна ступени вашего эликсира/зелья (была ступень суперио, усиление идет на +3 единицы и т.д.)","усиливает готовый эликсир. сила усиления равна ступени вашего эликсира/зелья (была ступень суперио, усиление идет на +3 единицы и т.д.)",raw,,
Усиливает любой эликсир/зелье на выходе. Сила усиления зависит от ступени приготовления зелья/эликсира. Усиление идет +показатель ступени.,усиливает любой эликсир/зелье на выходе. сила усиления зависит от ступени приготовления зелья/эликсира. усиление идет +показатель ступени.,raw,,
"Усиливает страхи, описанный кошмар в вашей вводной для вас теперь реален и вы его видите в любой отражающей поверхности","усиливает страхи, описанный кошмар в вашей вводной для вас теперь реален и вы его видите в любой отражающей поверхности",hallucinations,,
Усиливает техники ментальной магии (сила эликсира/2 = + к техникам),усиливает техники ментальной магии (сила эликсира/2 = + к техникам),raw,,
"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)","усиливает техники энергии ""мира"" (сила эликсира/2 = + к техникам)",raw,,
"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам)","усиливает техники энергии ""разума"" (сила эликсира/2 = + к техникам)",raw,,
"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам). Применимо только в мутациях.","усиливает техники энергии ""разума"" (сила эликсира/2 = + к техникам). применимо только в мутациях.",raw,,
"Усиливает техники энергии если в составе эликисра используется металл, определение усиления идет в зависимотри от металла (сила эликсира/2 = + к техникам)","усиливает техники энергии если в составе эликисра используется металл, определение усиления идет в зависимотри от металла (сила эликсира/2 = + к техникам)",raw,,
Успокаивает до безэмоциональности,успокаивает до безэмоциональности,raw,,
"Устойчивость к реализации любых энергий, кроме Тела и Света","устойчивость к реализации любых энергий, кроме тела и света",raw,,
Фрагментарное ухудшение памяти,фрагментарное ухудшение памяти,raw,,
Эйфория,эйфория,intoxication,,
"Эйфория, схожая с опьянением","эйфория, схожая с опьянением",intoxication,,
Эффект снотворного,эффект снотворного,sleep,,
"Ядовито для женщин, при контакте приводик к сну без сноведений (правила магической комы). У мужчин вызывает опьянение и эфорию.","ядовито для женщин, при контакте приводит к сну без сновидений (правила магической комы). у мужчин вызывает опьянение и эйфорию.",gender_toxin,,women_sleep;men_intox
