code,name,material,slot,slot_index,effect_text,source
OM,Омела,Иван Чай,add3,3,Заставляет фиксироваться на одной цели,Copy of Лаборатория Агнес.xlsx
PL,Платиум (Свет/Желтый),Белый сахар кубиком,main,0,"Обращает вспять превращения любого рода (отменяет последнюю мутацию организма, останавливает превращение через блокировку таланта ""Превращение"" и блокировку плюса ""Второй Облик"")",10.2 Алхимия_ Молодой Аристократ.xlsx
PL,Платиум (Свет/Желтый),Белый сахар кубиком,add1,1,Возвращает утерянный слух,10.2 Алхимия_ Молодой Аристократ.xlsx
PL,Платиум (Свет/Желтый),Белый сахар кубиком,add2,2,Возвращает утерянное зрение,10.2 Алхимия_ Молодой Аристократ.xlsx
PL,Платиум (Свет/Желтый),Белый сахар кубиком,add3,3,"Приводит настроение в состояние равновесия, убирает негативные чувтсва",10.2 Алхимия_ Молодой Аристократ.xlsx
PS,Сушеные пальцы Скоге/Ауки,Укроп,main,0,"Мстительность, агрессия",Copy of Лаборатория Агнес.xlsx
PS,Сушеные пальцы Скоге/Ауки,Укроп,add1,1,Дают возможность разговаривать с растениями,Copy of Лаборатория Агнес.xlsx
PS,Сушеные пальцы Скоге/Ауки,Укроп,add2,2,Защищают от воздействий на разум,Copy of Лаборатория Агнес.xlsx
PS,Сушеные пальцы Скоге/Ауки,Укроп,add3,3,Сводят с ума,Copy of Лаборатория Агнес.xlsx
QCH,Калёное Железо (Тело/Синий),Паприка молотая,main,0,Приводит в баланс энергии Жизни и Смерти в теле  (выравнивает кол-во карт Жизни и Смерти в теле Лекаря в меньшую сторону),Copy of Лаборатория Агнес.xlsx
QCH,Калёное Железо (Тело/Синий),Паприка молотая,add1,1,Нормализует энергообмен в теле,Copy of Лаборатория Агнес.xlsx
QCH,Калёное Железо (Тело/Синий),Паприка молотая,add2,2,Возвращает телу чувствительность,Copy of Лаборатория Агнес.xlsx
QCH,Калёное Железо (Тело/Синий),Паприка молотая,add3,3,Наносит повреждения магическим созданиям (работает как слабый яд для существ),Copy of Лаборатория Агнес.xlsx
QLH,Череп Лиха/Череп Трау,Горчичный порошок,main,0,"Позволяет взять под контроль любого мага по аналогии с талантом ""Знаменитый Кукловод"" на 2 ступени реализации (если использовать с кровью жертвы)",Copy of Лаборатория Агнес.xlsx
QLH,Череп Лиха/Череп Трау,Горчичный порошок,add1,1,"Усиливает техники энергии если в составе эликисра используется металл, определение усиления идет в зависимотри от металла  (сила эликсира/2 = + к техникам)",Copy of Лаборатория Агнес.xlsx
QLH,Череп Лиха/Череп Трау,Горчичный порошок,add2,2,"Дарует талант ""Манипулятор"" на 1 ступени реализации",Copy of Лаборатория Агнес.xlsx
QLH,Череп Лиха/Череп Трау,Горчичный порошок,add3,3,"Разжигает голод на 1 ступени, до плоти магов",Copy of Лаборатория Агнес.xlsx
RCH,Речница,Календула,main,0,"Повышает привлекательность в глазах представителей противоположного пола, может использоваться в приворотных эликсирах.",Copy of Лаборатория Агнес.xlsx
RCH,Речница,Календула,add1,1,Уменьшает силу стихийных чар,Copy of Лаборатория Агнес.xlsx
RCH,Речница,Календула,add2,2,Побуждает рисковать и подбивать на рискованные действия других,Copy of Лаборатория Агнес.xlsx
RCH,Речница,Календула,add3,3,"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)",Copy of Лаборатория Агнес.xlsx
RK,Рогатый Корень,Корень имбиря,main,0,Тонизирует (более слабый вариант бодрости),Copy of Лаборатория Агнес.xlsx
RK,Рогатый Корень,Корень имбиря,add1,1,"Способно спасти от смертельных ядов, противоядие",Copy of Лаборатория Агнес.xlsx
RK,Рогатый Корень,Корень имбиря,add2,2,Исцеляет физические раны,Copy of Лаборатория Агнес.xlsx
RK,Рогатый Корень,Корень имбиря,add3,3,Увеличивает самую сильную привязанность до влюбленности,Copy of Лаборатория Агнес.xlsx
ROS,Рога Суккуба/Рога Трау,темный шоколад,main,0,Дает возможность на 3 часа быть неотразимым кому угодно (ношение красной розы),Copy of Лаборатория Агнес.xlsx
ROS,Рога Суккуба/Рога Трау,темный шоколад,add1,1,Вызывает сексуальную дисфункцию (спосает от любых приворотов),Copy of Лаборатория Агнес.xlsx
ROS,Рога Суккуба/Рога Трау,темный шоколад,add2,2,"Вызывает сексуальный подьем (работает как сильный стимулятор, раскрывает сексуальное влечение и выпускает на ружу)",Copy of Лаборатория Агнес.xlsx
ROS,Рога Суккуба/Рога Трау,темный шоколад,add3,3,Слабый яд,Copy of Лаборатория Агнес.xlsx
RP,Роза Памяти,Плоды шиповника,main,0,"Делает неуязвимым к воздействиям на память, восстанавливает память. Защита ментальной составляющей Разум.",Copy of Лаборатория Агнес.xlsx
RP,Роза Памяти,Плоды шиповника,add1,1,"Неконтролируемая сработка таланта ""Истинный Сноходец"" 1 ступени, тоесть выход в мир снов ""Настоящее"" вместе с телом",Copy of Лаборатория Агнес.xlsx
RP,Роза Памяти,Плоды шиповника,add2,2,Привлекает духов,Copy of Лаборатория Агнес.xlsx
RP,Роза Памяти,Плоды шиповника,add3,3,Усиливает техники ментальной магии (сила эликсира/2 =  + к техникам),Copy of Лаборатория Агнес.xlsx
RYA,Кожура Радужной ягоды,Цедра лимона,main,0,"Восстановление функционирования составляющей части личности ""Разум""",10.2 Алхимия_ Молодой Аристократ.xlsx
RYA,Кожура Радужной ягоды,Цедра лимона,add1,1,Вызывает головную боль в затылочной части,10.2 Алхимия_ Молодой Аристократ.xlsx
RYA,Кожура Радужной ягоды,Цедра лимона,add2,2,Немота,10.2 Алхимия_ Молодой Аристократ.xlsx
RYA,Кожура Радужной ягоды,Цедра лимона,add3,3,"""Морская"" болезнь, тошнота",10.2 Алхимия_ Молодой Аристократ.xlsx
SA,Снежный Аконит,Мята,main,0,СИЛЬНО повышает настроение,Copy of Лаборатория Агнес.xlsx
SA,Снежный Аконит,Мята,add1,1,Спасает от кошмаров,Copy of Лаборатория Агнес.xlsx
SA,Снежный Аконит,Мята,add2,2,"Усиливает влечение к противоположному полу, афродизиак",Copy of Лаборатория Агнес.xlsx
SA,Снежный Аконит,Мята,add3,3,"Вызывает ""Рыжиковое Заболевание"" (после приема зелья/эликсира с данным свойством получить аскольд-карту заболевания у МГ)",Copy of Лаборатория Агнес.xlsx
SAP,Слюна Упыря/Тэнгри/Альпа,Томатный сок,main,0,Вызывает кошмары на яву (галюцинации с кошмарами),Copy of Лаборатория Агнес.xlsx
SAP,Слюна Упыря/Тэнгри/Альпа,Томатный сок,add1,1,Парализует (сильный яд),Copy of Лаборатория Агнес.xlsx
SAP,Слюна Упыря/Тэнгри/Альпа,Томатный сок,add2,2,"Дарует талант ""Каменная Стойкость"" на 2 ступени реализации",Copy of Лаборатория Агнес.xlsx
SAP,Слюна Упыря/Тэнгри/Альпа,Томатный сок,add3,3,"Дарует Талант ""Переносчик Чумы"" на 2 ступени реализации",Copy of Лаборатория Агнес.xlsx
SC,Солнечный Цвет,Мать и Мачеха,main,0,Слабый яд,Copy of Лаборатория Агнес.xlsx
SC,Солнечный Цвет,Мать и Мачеха,add1,1,Ослабляет ментальную защиту,Copy of Лаборатория Агнес.xlsx
SC,Солнечный Цвет,Мать и Мачеха,add2,2,"Усиливает страхи, описанный кошмар в вашей вводной для вас теперь реален и вы его видите в любой отражающей поверхности",Copy of Лаборатория Агнес.xlsx
SC,Солнечный Цвет,Мать и Мачеха,add3,3,Заживляет раны,Copy of Лаборатория Агнес.xlsx
SD,Семена дурман-травы,Фенхель,main,0,"Нарушение функционированя составляющей части личности ""Воля""",Copy of Лаборатория Агнес.xlsx
SD,Семена дурман-травы,Фенхель,add1,1,Галлюцинации,Copy of Лаборатория Агнес.xlsx
SD,Семена дурман-травы,Фенхель,add2,2,Потеря координации,Copy of Лаборатория Агнес.xlsx
SD,Семена дурман-травы,Фенхель,add3,3,Лихорадка,Copy of Лаборатория Агнес.xlsx
SF,Сердце Финфолк/Вилтак,Яблоко,main,0,"Запускает неуправляемый процесс превращений (1 превращение в час в рандомного животного или лилиута, за каждое превращение закрашивается одна пара луна-луч в печати души)",Copy of Лаборатория Агнес.xlsx
SF,Сердце Финфолк/Вилтак,Яблоко,add1,1,Нарушает энергообмен в теле,Copy of Лаборатория Агнес.xlsx
SF,Сердце Финфолк/Вилтак,Яблоко,add2,2,"Восстановливает функционирование составляющей части личности ""Душа""",Copy of Лаборатория Агнес.xlsx
SF,Сердце Финфолк/Вилтак,Яблоко,add3,3,Возвращает утерянный голос,Copy of Лаборатория Агнес.xlsx
SKI,Слюна крытаго Импла,Черный пищевой краситель,main,0,"Любая музыка, приводит к снижению барьера Воля до единицы",Copy of Лаборатория Агнес.xlsx
SKI,Слюна крытаго Импла,Черный пищевой краситель,add1,1,"Повышенный уровень шкодливости и игривого поведения ""Шило в Попе""",Copy of Лаборатория Агнес.xlsx
SKI,Слюна крытаго Импла,Черный пищевой краситель,add2,2,Единоразовая сработка таланта Третий Глаз на 3 ступени,Copy of Лаборатория Агнес.xlsx
SKI,Слюна крытаго Импла,Черный пищевой краситель,add3,3,"Сильный яд для любых персонажей, кто раскрыл талант",Copy of Лаборатория Агнес.xlsx
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,main,0,Усиливает готовый эликсир (сила на выходе *2) и даёт иммунитет к магии (пока работает этот эликсир полный иммунитет к любым магическим воздествиям),Copy of Лаборатория Агнес.xlsx
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,add1,1,Делает не видимым (по правилам красной вуали),Copy of Лаборатория Агнес.xlsx
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,add2,2,Средний Яд,Copy of Лаборатория Агнес.xlsx
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,add3,3,Востанавливает квинтэссенцию (по силе вашего эликсира/зелья),Copy of Лаборатория Агнес.xlsx
SPN,Семена Перситского Нарциса,Кориандр,main,0,Призывает на вашу сторону Удачу/Фортуну. Маркер Золотых Звезд.,Copy of Лаборатория Агнес.xlsx
SPN,Семена Перситского Нарциса,Кориандр,add1,1,Используется для разжигание самоуверености,Copy of Лаборатория Агнес.xlsx
SPN,Семена Перситского Нарциса,Кориандр,add2,2,"Омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь",Copy of Лаборатория Агнес.xlsx
SPN,Семена Перситского Нарциса,Кориандр,add3,3,Смертельный Яд,Copy of Лаборатория Агнес.xlsx
SS,Семена Сладостного Забвения,Мак Кулинарный,main,0,Вызывает полную потерю памяти (временно пока работает эликсир/зелье),Copy of Лаборатория Агнес.xlsx
SS,Семена Сладостного Забвения,Мак Кулинарный,add1,1,Невосприимчивость к боли и обезболивающее,Copy of Лаборатория Агнес.xlsx
SS,Семена Сладостного Забвения,Мак Кулинарный,add2,2,Снотворное средство,Copy of Лаборатория Агнес.xlsx
SS,Семена Сладостного Забвения,Мак Кулинарный,add3,3,Сильный отворотный компонент.,Copy of Лаборатория Агнес.xlsx
ST,Сон трава,Крапива,main,0,"Снимает последствия питания дэймона, против ""Дырявой Души"". Способно откатить симптомы данной болезни.",Copy of Лаборатория Агнес.xlsx
ST,Сон трава,Крапива,add1,1,Сильное снотворное,Copy of Лаборатория Агнес.xlsx
ST,Сон трава,Крапива,add2,2,Убирает симптомы магической чумы на поздних стадиях,Copy of Лаборатория Агнес.xlsx
ST,Сон трава,Крапива,add3,3,Слабое Противоядие,Copy of Лаборатория Агнес.xlsx
STN,Сердце Тени/Марида/Драуга,Лайм,main,0,Защита от любых магических воздействий,Copy of Лаборатория Агнес.xlsx
STN,Сердце Тени/Марида/Драуга,Лайм,add1,1,Противоядие от смертельных ядов. При использовании в мутации свойство противоядия становится постоянным для организма.,Copy of Лаборатория Агнес.xlsx
STN,Сердце Тени/Марида/Драуга,Лайм,add2,2,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",Copy of Лаборатория Агнес.xlsx
STN,Сердце Тени/Марида/Драуга,Лайм,add3,3,"Позволяет снимать любой приворот, даже родовой, если сила эликсира выше минимум на 1 единицу приворота. При использовании в зелье, снятие идет временное.",Copy of Лаборатория Агнес.xlsx
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,main,0,"Разжигает любовь (заставляет признаться в своих чувствах, тому кто действительно нравится и в кого влюблен)",10.2 Алхимия_ Молодой Аристократ.xlsx
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,add1,1,Вызывает Галлюцинации (образы исполненой мечты/грёзы),10.2 Алхимия_ Молодой Аристократ.xlsx
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,add2,2,Снотворное средство,10.2 Алхимия_ Молодой Аристократ.xlsx
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,add3,3,Увеличивает привлекательность (пока эликсир/зелье активен маркер красной розы),10.2 Алхимия_ Молодой Аристократ.xlsx
SZ,Сербский Златолист,Липа,main,0,Выводит из состояния опьянения,Copy of Лаборатория Агнес.xlsx
SZ,Сербский Златолист,Липа,add1,1,Повышает ментальную защиту,Copy of Лаборатория Агнес.xlsx
SZ,Сербский Златолист,Липа,add2,2,Среднее Противоядие,Copy of Лаборатория Агнес.xlsx
SZ,Сербский Златолист,Липа,add3,3,Восстанавливает энергию,Copy of Лаборатория Агнес.xlsx
TD,Чешуя Травяного Дракона,Тыквенные Семечки,main,0,Клептомания и тяга ко всему блестящему,Copy of Лаборатория Агнес.xlsx
TD,Чешуя Травяного Дракона,Тыквенные Семечки,add1,1,Разжигает манию величия,Copy of Лаборатория Агнес.xlsx
TD,Чешуя Травяного Дракона,Тыквенные Семечки,add2,2,Позволяет понимать язык животных,Copy of Лаборатория Агнес.xlsx
TD,Чешуя Травяного Дракона,Тыквенные Семечки,add3,3,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",Copy of Лаборатория Агнес.xlsx
TPS,Толченое перо Алконоста/Симурана,Куркума,main,0,"Восстанавливает функционирование составляющей части личности ""Воля""",10.2 Алхимия_ Молодой Аристократ.xlsx
TPS,Толченое перо Алконоста/Симурана,Куркума,add1,1,Убирает головную боль в затылочной части,10.2 Алхимия_ Молодой Аристократ.xlsx
TPS,Толченое перо Алконоста/Симурана,Куркума,add2,2,"Убирает паралич, в том числе от различных ядов и талантов",10.2 Алхимия_ Молодой Аристократ.xlsx
TPS,Толченое перо Алконоста/Симурана,Куркума,add3,3,Снимает воспаление и зуд кожных покровов,10.2 Алхимия_ Молодой Аристократ.xlsx
UHG,Уши Гремлина,сушеное манго,main,0,"Талант ""Похититель энергии"" 1 ступени, который можно применять и к техническим устройствам(после этого устройство ломается)",Copy of Лаборатория Агнес.xlsx
UHG,Уши Гремлина,сушеное манго,add1,1,"Повышенное недовольство ко всему, ворчливость",Copy of Лаборатория Агнес.xlsx
UHG,Уши Гремлина,сушеное манго,add2,2,"Талант ""Всевидящее око"" 1 ступень",Copy of Лаборатория Агнес.xlsx
UHG,Уши Гремлина,сушеное манго,add3,3,Смена любой предрасположенности на Энергию Разума,Copy of Лаборатория Агнес.xlsx
VGU,Вареная Грива Ужвениста,Стеклянная лапша (запаренная),main,0,"Затмевает ""разум"", хочется прыгать скакать громко кричать И-Го-Го, бить копытом и т.д.",10.2 Алхимия_ Молодой Аристократ.xlsx
VGU,Вареная Грива Ужвениста,Стеклянная лапша (запаренная),add1,1,Может использоваться в эликсирах дарующих красоту (красная Роза),10.2 Алхимия_ Молодой Аристократ.xlsx
VGU,Вареная Грива Ужвениста,Стеклянная лапша (запаренная),add2,2,"Убирает до 2 любых плюс из существующих у персонажа, или в составе эликисра",10.2 Алхимия_ Молодой Аристократ.xlsx
VGU,Вареная Грива Ужвениста,Стеклянная лапша (запаренная),add3,3,Может использоваться в зельях/элексирах на плодородие (любое в том числе и для увеличения шансов забеременеть).,10.2 Алхимия_ Молодой Аристократ.xlsx
VT,Вонь трава,Тимьян,main,0,Вводит в состояние депрессии,Copy of Лаборатория Агнес.xlsx
VT,Вонь трава,Тимьян,add1,1,Временно снимает эффекты проклятий,Copy of Лаборатория Агнес.xlsx
VT,Вонь трава,Тимьян,add2,2,Защищает от ментального воздействия,Copy of Лаборатория Агнес.xlsx
VT,Вонь трава,Тимьян,add3,3,Защищает от нематериальных существ,Copy of Лаборатория Агнес.xlsx
VZ,Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,main,0,Сильное успокоительное,10.2 Алхимия_ Молодой Аристократ.xlsx
VZ,Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,add1,1,Исцеляет при ментальных болезнях с 50% вероятностью (бросается кубик д6 на чет или нечет). Важно что бы сила зелья/эликсира была выше минимум на 1 единицу болезни.,10.2 Алхимия_ Молодой Аристократ.xlsx
VZ,Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,add2,2,"Ослабляют проклятия, на силу зелья/эликсира",10.2 Алхимия_ Молодой Аристократ.xlsx
VZ,Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,add3,3,Сильное противоядие,10.2 Алхимия_ Молодой Аристократ.xlsx
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,main,0,Смертельный яд,Copy of Лаборатория Агнес.xlsx
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,add1,1,"Ослабляет естественные барьеры (снижает по ступени эликсира показатель барьеров воли, разума и души в равном кол-ве)",Copy of Лаборатория Агнес.xlsx
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,add2,2,Разрушает энергетические потоки (при силе 20 разрушается 1 поток),Copy of Лаборатория Агнес.xlsx
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,add3,3,Усиливает восприимчивость к энергии Тени (урон от Тени *2),Copy of Лаборатория Агнес.xlsx
ZBD,Зубодробитель,Смородина лист,main,0,Разжигает паранойю,Copy of Лаборатория Агнес.xlsx
ZBD,Зубодробитель,Смородина лист,add1,1,Позволяет стать неосязаемым (зеленая вуаль),Copy of Лаборатория Агнес.xlsx
ZBD,Зубодробитель,Смородина лист,add2,2,Непереносимость солнечного света - при нахождении более 10 минут вводит в состояние тяжедого ранения (ожоги кожи),Copy of Лаборатория Агнес.xlsx
ZBD,Зубодробитель,Смородина лист,add3,3,"Вызывает зависимость 1 уровня, см. правила ""Голод"". При наличии зависимости, увеличивает ее уровень на +1",Copy of Лаборатория Агнес.xlsx
ZG,Зубы Гнома/Маркопола,Семена подсолнух чищенные,main,0,Вызывает опьянение,Copy of Лаборатория Агнес.xlsx
ZG,Зубы Гнома/Маркопола,Семена подсолнух чищенные,add1,1,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",Copy of Лаборатория Агнес.xlsx
ZG,Зубы Гнома/Маркопола,Семена подсолнух чищенные,add2,2,"Заживляет раны и останавливает кровотечение (восстанавливает потерянные хиты, по силе зелья/эликсира). Если рана не затянулася полностью, она не переходит на следующую ступень пока действует эликсир/зелье.",Copy of Лаборатория Агнес.xlsx
ZG,Зубы Гнома/Маркопола,Семена подсолнух чищенные,add3,3,"Вызывает окаменение (тело полностью покрывается камнем, личность же мага действует по правилам магической комы)",Copy of Лаборатория Агнес.xlsx
ZM,Запертый морок,Бадьян,main,0,Делает максимально уязвимым для всех магических болезней (получить карту вирусного заболевания у МГ),Copy of Лаборатория Агнес.xlsx
ZM,Запертый морок,Бадьян,add1,1,Превращает любые металлы в каллёное железо,Copy of Лаборатория Агнес.xlsx
ZM,Запертый морок,Бадьян,add2,2,Открывает скрытые таланты (при наличии талантов 0 ступени),Copy of Лаборатория Агнес.xlsx
ZM,Запертый морок,Бадьян,add3,3,Запирает в мире снов,Copy of Лаборатория Агнес.xlsx
ZP,Цветок Лжепапорника,Гибискус (суданская роза),main,0,"От смертельных вирусов, противосполительное",Copy of Лаборатория Агнес.xlsx
ZP,Цветок Лжепапорника,Гибискус (суданская роза),add1,1,Замедляет процессы в организме любые,Copy of Лаборатория Агнес.xlsx
ZP,Цветок Лжепапорника,Гибискус (суданская роза),add2,2,От перепадов Настроения,Copy of Лаборатория Агнес.xlsx
ZP,Цветок Лжепапорника,Гибискус (суданская роза),add3,3,От Тошноты,Copy of Лаборатория Агнес.xlsx
ZR,Зубы Рататоска/Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Миндаль,main,0,Вызывает привыкание при приеме 2 доз в течении суток,Copy of Лаборатория Агнес.xlsx
ZR,Зубы Рататоска/Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Миндаль,add1,1,"Позволяет выйти с телом в мир снов, по правилам истинного сноходца",Copy of Лаборатория Агнес.xlsx
ZR,Зубы Рататоска/Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Миндаль,add2,2,"Приводит в состояние эйфории, открывает личность (снижает ментальные барьеры до 1)",Copy of Лаборатория Агнес.xlsx
ZR,Зубы Рататоска/Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Миндаль,add3,3,"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)",Copy of Лаборатория Агнес.xlsx
